|building_address_city|List Date|Close Date|days_on_market|Sale Price|Sq. Ft.|price_per_sqft|Agent|Buyer Agent|Listing Broker|Buyer Broker|geo_address|building_name|address_only|loc|point|lat|lon|altitude|Sale Price int|price_per_sqft_int|year
36|The Ocean Club 781 Crandon Blvd 1506 Key Biscayne|2/14/2022|4/19/2022|9|$4,395,000.00|2780|$1,580.94|Douglas Kinsley|M. Ivette Thomas|Not Available|Not Available|The Ocean Club 781 Crandon Blvd 1506 Key Biscayne|The Ocean Club |781 Crandon Blvd 1506 Key Biscayne|781 Crandon Blvd APT 1506, Key Biscayne, FL 33149, USA|(25.6882815, -80.1589302, 0.0)|25.6882815|-80.1589302|0.0|4395000.0|1580.94|2021
37|Asia 900 Brickell Key Blvd 2903 Miami|5/21/2020|4/18/2022|523|$3,725,000.00|3398|$1,096.23|Sonia Gherardi|Giorgio Vecchi|Not Available|Not Available|Asia 900 Brickell Key Blvd 2903 Miami|Asia |900 Brickell Key Blvd 2903 Miami|Asia, 900 Brickell Key Blvd APT 2903, Miami, FL 33131, USA|(25.7690295, -80.1856979, 0.0)|25.7690295|-80.1856979|0.0|3725000.0|1096.23|2021
38|Setai Hotel & Residences 101 20th St 2706 Miami Beach|2/8/2022|4/22/2022|69|$3,650,000.00|1316|$2,773.56|Denise Leigh|Elke Johnson|Not Available|Not Available|Setai Hotel & Residences 101 20th St 2706 Miami Beach|Setai Hotel & Residences |101 20th St 2706 Miami Beach|101 20th St #2706, Miami Beach, FL 33139, USA|(25.7956082, -80.1281603, 0.0)|25.7956082|-80.1281603|0.0|3650000.0|2773.56|2021
39|Ocean Tower One 799 Crandon Blvd 1205 Key Biscayne|3/4/2022|4/19/2022|4|$3,365,000.00|2510|$1,340.64|Carlos Coto|Monica Steinmuller|Not Available|Not Available|Ocean Tower One 799 Crandon Blvd 1205 Key Biscayne|Ocean Tower One |799 Crandon Blvd 1205 Key Biscayne|799 Crandon Blvd APT 1205, Key Biscayne, FL 33149, USA|(25.6866419, -80.1579993, 0.0)|25.6866419|-80.1579993|0.0|3365000.0|1340.64|2021
40|Mansions at Acqualina 17749 Collins Ave 1002 Sunny Isles Beach|11/10/2021|4/25/2022|110|$6,250,000.00|4609|$1,356.04|Marla Cohen|David Vazquez|Acqualina Realty|Brown Harris Stevens|Mansions at Acqualina 17749 Collins Ave 1002 Sunny Isles Beach|Mansions at Acqualina |17749 Collins Ave 1002 Sunny Isles Beach|17749 Collins Ave APT 1002, Sunny Isles Beach, FL 33160, USA|(25.9400518, -80.12056079999999, 0.0)|25.9400518|-80.12056079999999|0.0|6250000.0|1356.04|2021
41|St Regis 9705 Collins Ave 601N Bal Harbour|9/2/2021|4/29/2022|153|$6,100,000.00|3524|$1,730.99|Bruno Junqueira|Julian Johnston|Coldwell Banker Realy|The Corcoran Group|St Regis 9705 Collins Ave 601N Bal Harbour|St Regis |9705 Collins Ave 601N Bal Harbour|9705 Collins Ave #601n, Bal Harbour, FL 33154, USA|(25.8887716, -80.1229685, 0.0)|25.8887716|-80.1229685|0.0|6100000.0|1730.99|2021
42|Eighty Seven Park 8701 Collins Ave 401 Miami Beach|12/16/2021|4/26/2022|97|$5,500,000.00|2233|$2,463.05|Ivan Chorney|Daniel Tzinker|Compass Florida, LLC|The Agency Florida, LLC|Eighty Seven Park 8701 Collins Ave 401 Miami Beach|Eighty Seven Park |8701 Collins Ave 401 Miami Beach|8701 Collins Ave #401, Miami Beach, FL 33154, USA|(25.8720993, -80.1218779, 0.0)|25.8720993|-80.1218779|0.0|5500000.0|2463.05|2021
43|Mosaic on Miami Beach 3801 Collins Ave 1606 Miami Beach|2/21/2022|4/26/2022|5|$4,000,000.00|1820|$2,197.80|Ida Schwartz|Ida Schwartz|Compass Florida, LLC|Compass Florida, LLC|Mosaic on Miami Beach 3801 Collins Ave 1606 Miami Beach|Mosaic on Miami Beach |3801 Collins Ave 1606 Miami Beach|3801 Collins Ave #1606, Miami Beach, FL 33140, USA|(25.8113373, -80.12262849999999, 0.0)|25.8113373|-80.12262849999999|0.0|4000000.0|2197.8|2021
44|Eighty Seven Park 8701 Collins Ave 805 Miami Beach|1/3/2022|4/26/2022|54|$4,000,000.00|3087|$2,418.38|Diana Garchitorena|Lianne Graubart|Douglas Elliman|One Sotheby's Intl Realty|Eighty Seven Park 8701 Collins Ave 805 Miami Beach|Eighty Seven Park |8701 Collins Ave 805 Miami Beach|8701 Collins Ave #805, Miami Beach, FL 33154, USA|(25.8720993, -80.1218779, 0.0)|25.8720993|-80.1218779|0.0|4000000.0|2418.38|2021
45|The Ritz Carlton 4701 Meridian Ave 424 Miami Beach|7/12/2021|4/25/2022|239|$3,975,000.00|3440|$1,239.48|Tristan Alexander|Ilana Levitt|Compass Florida, LLC|Compass Florida, LLC|The Ritz Carlton 4701 Meridian Ave 424 Miami Beach|The Ritz Carlton |4701 Meridian Ave 424 Miami Beach|4701 Meridian Ave #424, Miami Beach, FL 33140, USA|(25.8227618, -80.13216160000002, 0.0)|25.8227618|-80.13216160000002|0.0|3975000.0|1239.48|2021
46|Portofino Tower 300 S Pointe Dr 4306 Miami Beach|3/15/2022|4/26/2022|28|$3,600,000.00|2040|$1,764.71|John Lennon|Fabrizio Passatore|South Pointe Drive Realty Inc|The Keyes Company|Portofino Tower 300 S Pointe Dr 4306 Miami Beach|Portofino Tower |300 S Pointe Dr 4306 Miami Beach|300 South Pointe Dr APT 4306, Miami Beach, FL 33139, USA|(25.7677332, -80.1349941, 0.0)|25.7677332|-80.1349941|0.0|3600000.0|1764.71|2021
47|18975 Collins Condo 18975 Collins Ave 3403 Sunny Isles Beach|1/28/2022|4/26/2022|47|$3,500,000.00|2271|$1,541.17|Roland Ortiz|Jorge Martinez|One Sotheby's Intl Realty|One Sotheby's Intl Realty|18975 Collins Condo 18975 Collins Ave 3403 Sunny Isles Beach||18975 Collins Condo 18975 Collins Ave 3403 Sunny Isles Beach|18975 Collins Ave #3403, Sunny Isles Beach, FL 33160, USA|(25.9529783, -80.1191546, 0.0)|25.9529783|-80.1191546|0.0|3500000.0|1541.17|2021
48|Jade Signature 16901 Collins Ave 1203 Sunny Isles Beach|10/22/2021|4/28/2022|165|$3,450,000.00|2501|$1,379.45|Christiane Brooks|Alina Sanalati|Compass Florida, LLC|Platinum Ocean Realty LLC|Jade Signature 16901 Collins Ave 1203 Sunny Isles Beach|Jade Signature |16901 Collins Ave 1203 Sunny Isles Beach|16901 Collins Ave Apt 1203, Sunny Isles Beach, FL 33160, USA|(25.9326974, -80.1211241, 0.0)|25.9326974|-80.1211241|0.0|3450000.0|1379.45|2021
49|A0cqualina Ocean Residence 17875 Collins Ave 3806 Sunny Isles Beach|3/1/2022|4/29/2022|42|$3,225,000.00|2736|$1,178.73|Marla Cohen|Cindy Clayman|Acqualina Realty|Douglas Elliman|A0cqualina Ocean Residence 17875 Collins Ave 3806 Sunny Isles Beach|A|0cqualina Ocean Residence 17875 Collins Ave 3806 Sunny Isles Beach|17875 Collins Ave #3806, Sunny Isles Beach, FL 33160, USA|(25.940858, -80.1208766, 0.0)|25.940858|-80.1208766|0.0|3225000.0|1178.73|2021
